"Steps,"Dates","Interval"1,2012-10-01,0
1,2012-10-01,5
3,2012-10-01,10
6,2012-10-01,15
8,2012-10-01,20
9,2012-10-01,25
9,2012-10-01,30
9,2012-10-01,35
9,2012-10-01,40
11,2012-10-01,45
11,2012-10-01,50
11,2012-10-01,55
13,2012-10-01,100
14,2012-10-01,105
14,2012-10-01,110
14,2012-10-01,115
15,2012-10-01,120
19,2012-10-01,125
21,2012-10-01,130
25,2012-10-01,135
25,2012-10-01,140
25,2012-10-01,145
25,2012-10-01,150
26,2012-10-01,155
26,2012-10-01,200
29,2012-10-01,205
29,2012-10-01,210
29,2012-10-01,215
30,2012-10-01,220
32,2012-10-01,225
33,2012-10-01,230
34,2012-10-01,235
36,2012-10-01,240
36,2012-10-01,245
40,2012-10-01,250
41,2012-10-01,255
44,2012-10-01,300
45,2012-10-01,305
46,2012-10-01,310
47,2012-10-01,315
47,2012-10-01,320
48,2012-10-01,325
48,2012-10-01,330
48,2012-10-01,335
52,2012-10-01,340
52,2012-10-01,345
53,2012-10-01,350
54,2012-10-01,355
55,2012-10-01,400
56,2012-10-01,405
58,2012-10-01,410
59,2012-10-01,415
59,2012-10-01,420
60,2012-10-01,425
64,2012-10-01,430
66,2012-10-01,435
68,2012-10-01,440
69,2012-10-01,445
70,2012-10-01,450
70,2012-10-01,455
72,2012-10-01,500
74,2012-10-01,505
76,2012-10-01,510
77,2012-10-01,515
77,2012-10-01,520
77,2012-10-01,525
79,2012-10-01,530
80,2012-10-01,535
81,2012-10-01,540
82,2012-10-01,545
84,2012-10-01,550
85,2012-10-01,555
85,2012-10-01,600
86,2012-10-01,605
87,2012-10-01,610
88,2012-10-01,615
89,2012-10-01,620
89,2012-10-01,625
90,2012-10-01,630
90,2012-10-01,635
91,2012-10-01,640
91,2012-10-01,645
91,2012-10-01,650
92,2012-10-01,655
95,2012-10-01,700
96,2012-10-01,705
97,2012-10-01,710
100,2012-10-01,715
100,2012-10-01,720
100,2012-10-01,725
102,2012-10-01,730
102,2012-10-01,735
104,2012-10-01,740
105,2012-10-01,745
105,2012-10-01,750
105,2012-10-01,755
106,2012-10-01,800
107,2012-10-01,805
107,2012-10-01,810
